,Id,game_seq,season_end,date,season_game_seq,playoff,team_id,Elo,opp_team_id,opp_Elo,win_equivalent,bet_ratio,home_crowd,opp_crowd,total_crowd
0,45001,50929,2006,2/1/2006,45,0.0,14,1452.0272,12,1467.3956,36.57761,0.61944157,8700,3300,12000
1,45002,62745,2015,3/4/2015,60,0.0,15,1498.2162,1,1283.8668,40.762896999999995,0.85930634,7000,2600,9600
2,45003,53291,2008,12/25/2007,28,0.0,9,1495.3258,14,1392.2981,40.791542,0.76291382,3800,1500,5300
3,45004,24991,1984,12/2/1983,18,0.0,8,1602.118,19,1528.845,52.006989000000004,0.73055494,7000,300,7300
4,45005,18807,1977,3/25/1977,73,0.0,3,1481.2228,12,1571.5261,,0.513951,4900,1000,5900
5,45006,35797,1994,11/21/1993,9,0.0,21,1376.4625,5,1617.1067,29.524510999999997,0.307973,3300,400,3700
6,45007,23656,1982,4/2/1982,73,0.0,16,1576.2955,9,1482.4294,49.462399,0.75324285,3100,3300,6400
7,45008,58934,2012,4/3/2012,52,0.0,29,,12,1425.6982,49.194347,0.81311512,4100,5300,9400
8,45009,61508,2014,3/15/2014,66,0.0,3,1381.6072,15,1603.1605,28.008074,0.33187491,9000,1500,10500
9,45010,41863,1999,2/9/1999,3,0.0,26,1329.3531,8,1459.1982,23.411976,0.45715478,4800,3300,8100
10,45011,39010,1996,3/23/1996,69,0.0,12,1452.7079999999999,6,,38.472195,0.50867212,6900,3300,10200
11,45012,1141,1950,12/20/1949,27,0.0,57,1413.3370000000002,46,1431.7148,35.704529,0.61534947,6800,4300,11100
12,45013,22515,1981,2/15/1981,60,0.0,16,1443.1772,0,1679.5233,,0.31327102,6700,2900,9600
13,45014,31401,1990,1/11/1990,35,0.0,16,1505.7653,23,1325.4972,44.634529,0.83387637,9300,2000,11300
14,45015,28985,1988,11/28/1987,12,0.0,1,1369.2648,10,,28.437098,0.53188461,3600,5300,8900
15,45016,49800,2005,3/4/2005,60,0.0,22,1657.6881,21,1562.2046,,0.7549693000000001,7700,5000,12700
16,45017,37876,1995,4/11/1995,76,0.0,8,,3,1347.0435,29.851878999999997,0.68945026,5600,900,6500
17,45018,2912,1954,2/21/1954,60,0.0,33,,35,1631.7689,,0.59997642,4900,4800,9700
18,45019,4760,1960,2/6/1960,55,0.0,34,1627.3063,33,1611.9563,53.08955400000001,0.66016012,5000,1200,6200
19,45020,14975,1974,1/2/1974,45,0.0,14,1421.7719,41,1380.6792,34.152916,0.69257694,8100,5000,13100
20,45021,33184,1991,4/13/1991,79,0.0,10,1404.876,19,1314.4012,33.027828,0.74959636,8300,2400,10700
21,45022,49776,2005,2/28/2005,56,0.0,17,1401.2314,20,1463.0568,31.515116,0.55471778,8700,4500,13200
22,45023,59575,2013,12/18/2012,26,0.0,2,1536.4136,37,1252.981,44.437332,0.9008956,5300,500,5800
23,45024,39985,1997,2/11/1997,49,0.0,22,1646.9774,3,,57.17289,0.68151069,5800,4600,10400
24,45025,58365,2012,1/20/2012,15,0.0,27,,16,1610.7098,22.557026,0.24718817,6500,800,7300
25,45026,31997,1990,4/12/1990,76,0.0,17,,2,1696.4629,54.287822999999996,0.51052988,5400,1800,7200
26,45027,23252,1982,1/19/1982,39,0.0,1,1504.7574,0,1661.9078,41.204182,0.41848782,4000,500,4500
27,45028,55644,2010,11/13/2009,10,0.0,38,1469.4171,9,1616.4882,36.693027,0.43267077,8100,200,8300
28,45029,3557,1956,3/1/1956,62,0.0,31,1514.9249,43,,39.03494600000001,0.70833397,9000,4800,13800
29,45030,30020,1989,11/27/1988,11,0.0,10,1578.6467,22,1235.5737,,0.92760932,6100,1000,7100
