,employer,min_pos_salary,max_pos_salary,overtime_pay,lump_sum_pay,other_pay,retirement_cost_covered,health_benefits,DOB,pension,employer_url,location
0,15,49512.0,66192.0,0.0,0.0,2576.11,0.0,0.0,26-04-1963,Part-Time Seasonal and Temporary (PST) Retirement Plan,msubaroda.ac.in,Vadodara
1,20,37380.0,65700.0,0.0,0.0,493.05,,11605.58,27-04-1955,2.00% @ 62,saurashtrauniversity.edu,Rajkot
2,16,85188.0,150792.0,0.0,0.0,0.0,,23270.64,01-06-1976,2.00% @ 55,www.nau.in,Navsari
3,8,50148.0,71304.0,0.0,0.0,1023.79,,17631.72,20-08-1953,2.00% @ 55,gtu.ac.in,Ahmedabad
4,4,22879.56,38749.56,0.0,0.0,1391.5,0.0,0.0,17-09-1958,,gu.ac.in,Mehsana
5,23,28152.0,114780.0,0.0,,0.0,,0.0,08-11-1982,,vnsgu.ac.in,Surat
6,18,31200.0,53496.0,514.4,0.0,650.0,0.0,9084.24,23-04-1984,2.00% @ 55,spuvvn.edu,
7,12,22879.56,38749.56,0.0,,141.0,0.0,0.0,26-01-1950,,iitram.ac.in,Ahmedabad
8,12,22879.56,38749.56,0.0,0.0,677.6,,0.0,02-08-1962,,iitram.ac.in,Ahmedabad
9,15,37380.0,65700.0,0.0,,1805.0,0.0,9695.83,03-08-1988,2.00% @ 62,msubaroda.ac.in,Vadodara
10,9,22879.56,291194.4,0.0,,0.0,0.0,0.0,17-09-1981,Part-Time Seasonal and Temporary (PST) Retirement Plan,gujaratuniversity.org.in,Ahmedabad
11,20,28079.4,41432.76,0.0,0.0,0.0,,0.0,04-05-1980,,saurashtrauniversity.edu,Rajkot
12,10,49512.0,66192.0,0.0,0.0,3055.81,,89.64,15-05-1982,2.00% @ 62,www.guts.education,
13,7,49512.0,66192.0,0.0,0.0,950.0,0.0,0.0,13-09-1974,2.00% @ 62,gnlu.ac.in,
14,7,22879.56,38749.56,0.0,0.0,72.0,0.0,0.0,08-08-1968,,gnlu.ac.in,Gandhinagar
15,0,31200.0,44604.0,0.0,0.0,650.0,,89.64,03-03-1989,2.00% @ 62,www.aau.in,Anand
16,2,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,20-10-1967,,ddu.ac.in,Nadiad
17,8,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,01-07-1952,Part-Time Seasonal and Temporary (PST) Retirement Plan,gtu.ac.in,Ahmedabad
18,1,22879.56,38749.56,0.0,0.0,489.38,0.0,0.0,02-05-1977,,www.bknmu.edu.in,Junagadh
19,16,85188.0,150792.0,0.0,0.0,47416.56,0.0,23270.64,22-04-1963,2.00% @ 60,www.nau.in,Navsari
20,10,59076.0,131088.0,0.0,,8262.0,0.0,22015.08,01-11-1982,2.00% @ 62,www.guts.education,Ahmedabad
21,22,22879.56,38749.56,0.0,0.0,1477.5,0.0,0.0,13-05-1956,,sggu.ac.in,
22,19,67656.0,143952.0,0.0,0.0,5658.55,,23270.64,12-01-1954,2.00% @ 62,sdau.edu.in,
23,20,49512.0,66192.0,0.0,0.0,0.0,0.0,0.0,24-02-1963,Part-Time Seasonal and Temporary (PST) Retirement Plan,saurashtrauniversity.edu,Rajkot
24,18,22879.56,38749.56,0.0,0.0,3770.5,0.0,0.0,24-10-1967,,spuvvn.edu,Vallabh Vidhyanagar
25,8,22879.56,38749.56,0.0,0.0,5047.2,0.0,0.0,07-10-1960,,gtu.ac.in,Ahmedabad
26,1,44976.0,78984.0,0.0,0.0,1445.0,,9329.16,13-07-1982,2.00% @ 62,www.bknmu.edu.in,Junagadh
27,16,60864.0,213120.0,0.0,0.0,5664.0,,0.0,23-02-1978,2.00% @ 62,www.nau.in,
28,9,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,10-01-1984,Part-Time Seasonal and Temporary (PST) Retirement Plan,gujaratuniversity.org.in,
29,0,22879.56,38749.56,0.0,0.0,621.9,0.0,0.0,23-08-1962,,www.aau.in,Anand
30,8,59076.0,131088.0,0.0,0.0,24334.8,0.0,9237.72,22-03-1984,2.00% @ 55,gtu.ac.in,Ahmedabad
31,6,22879.56,38749.56,0.0,0.0,426.0,0.0,0.0,22-01-1969,,gfsu.edu.in,
32,20,67656.0,120840.0,0.0,0.0,0.0,0.0,9329.16,27-09-1984,2.00% @ 55,saurashtrauniversity.edu,Rajkot
33,8,23587.2,324000.0,0.0,0.0,150.0,,0.0,03-09-1975,Part-Time Seasonal and Temporary (PST) Retirement Plan,gtu.ac.in,Ahmedabad
34,18,59076.0,131088.0,0.0,,0.0,0.0,0.0,04-05-1984,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,Vallabh Vidhyanagar
35,5,85188.0,150792.0,0.0,0.0,0.0,,9329.16,12-04-1981,2.00% @ 55,ayurveduniversity.edu.in,Jamnagar
36,20,85188.0,150792.0,0.0,0.0,8041.18,,17542.62,17-02-1973,,saurashtrauniversity.edu,Rajkot
37,6,28080.0,52920.0,0.0,0.0,0.0,0.0,0.0,11-02-1951,,gfsu.edu.in,Gandhinagar
38,18,34152.0,59976.0,0.0,365.1,487.5,,3849.05,15-02-1987,2.00% @ 62,spuvvn.edu,Vallabh Vidhyanagar
39,22,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,06-03-1981,Part-Time Seasonal and Temporary (PST) Retirement Plan,sggu.ac.in,Godhra
40,23,49512.0,66192.0,0.0,0.0,0.0,0.0,23270.64,06-02-1972,2.00% @ 55,vnsgu.ac.in,Surat
41,10,22879.56,38749.56,0.0,0.0,4224.0,0.0,0.0,17-02-1981,,www.guts.education,Ahmedabad
42,19,22879.56,38749.56,0.0,0.0,1870.0,0.0,0.0,13-03-1956,,sdau.edu.in,Palanpur
43,18,49512.0,66192.0,0.0,0.0,6776.2,,0.0,15-07-1978,,spuvvn.edu,
44,18,35076.0,61548.0,107.84,237.09,714.0,0.0,0.0,19-04-1977,Part-Time Seasonal and Temporary (PST) Retirement Plan,spuvvn.edu,Vallabh Vidhyanagar
45,14,26928.0,38172.0,0.0,0.0,0.0,,0.0,07-10-1978,,www.mkbhavuni.edu.in,Bhavnagar
46,9,22879.56,38749.56,0.0,,4680.8,0.0,0.0,12-07-1985,,gujaratuniversity.org.in,Ahmedabad
47,2,49512.0,66192.0,0.0,0.0,1419.68,,0.0,15-01-1976,Part-Time Seasonal and Temporary (PST) Retirement Plan,ddu.ac.in,Nadiad
48,3,49512.0,66192.0,0.0,,3182.8,0.0,0.0,07-07-1983,Part-Time Seasonal and Temporary (PST) Retirement Plan,baou.edu.in,Ahmedabad
49,22,22879.56,38749.56,0.0,0.0,805.2,0.0,0.0,22-05-1981,,sggu.ac.in,Godhra
50,16,49512.0,66192.0,0.0,0.0,3188.8,0.0,0.0,06-05-1951,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.nau.in,
